"headword"	"pos"	"count"	"%"	"words"
"frater, fratris"	"N"	14	0.1	"frater; fratres; fratre; fratrem"
"ibi"	"ADV"	14	0.1	"ibi"
"lavo, lavare, lavi, lotus"	"V"	14	0.1	"lavi; lava; lavare; lavit; lavabis; lavas; lavero; lavet; lotus"
"pes, pedis"	"N"	14	0.1	"pedes"
"propheta, prophetae"	"N"	14	0.1	"propheta; prophetae; prophetis"
"semetipse, semetipsa, semetipsum"	"PRON"	14	0.1	"semetipso; semetipsum; semetipsos; semetipsis"
"templum, templi"	"N"	14	0.1	"templo; templum"
"vester, vestra, vestrum"	"ADJ"	14	0.1	"vester; vestra; vestris; vestros; vestram; vestro"
"volo, velle, volui, -"	"V"	14	0.1	"volebant; volo; volebas; volebat; voluerit; volueritis; voluistis; voluit; volumus"
"Hierosolyma, Hierosolymae"	"N"	13	0.1	"hierosolymis; hierosolymam"
"Moyses, Moysis"	"N"	13	0.1	"moyses; moysi; moysis; moyse; moysen"
"apud"	"PREP"	13	0.1	"apud"
"baptizo, baptizare, baptizavi, baptizatus"	"V"	13	0.1	"baptizans; baptizat; baptizabantur; baptizabat; baptizare; baptizaret; baptizas; baptizo"
"clarifico, clarificare, clarificavi, clarificatus"	"V"	13	0.1	"clarificatus; clarificabit; clarifica; clarificaturus; clarificavi; clarificet"
"introeo, introire, introivi(ii), introitus"	"V"	13	0.1	"introivit; introire; introierit; introierunt; introisset; introistis"
"invicem"	"ADV"	13	0.1	"invicem"
"nolo, nolle, nolui, -"	"V"	13	0.1	"nolite; noli"
"nondum"	"ADV"	13	0.1	"nondum"
"sabbatum, sabbati"	"N"	13	0.1	"sabbato; sabbatum; sabbatorum; sabbati"
"unde"	"ADV"	13	0.1	"unde"
"vado, vadere, vasi, -"	"V"	13	0.1	"vade; vadit; vadat; vadam"
"Philippus, Philippi"	"N"	12	0.1	"philippus; philippum; philippe"
"aperio, aperire, aperui, apertus"	"V"	12	0.1	"aperuit; aperire; aperit; aperti; apertum"
"interficio, interficere, interfeci, interfectus"	"V"	12	0.1	"interficere; interficerent; interficiet; interficit"
"minister, ministri"	"N"	12	0.1	"ministri; ministros; minister; ministris; ministrorum"
"modicus, modica, modicum"	"ADJ"	12	0.1	"modicum"
"nonne"	"ADV"	12	0.1	"nonne"
"nosco, noscere, novi, notus"	"V"	12	0.1	"notum; notus; noverunt; nosset; nosti; nota; novi; novimus; novit"
"primus, prima, primum"	"ADJ"	12	0.1	"primum; primus; prima; primi"
"servus, servi"	"N"	12	0.1	"servus; servi; servo; servis; servos; servum"
"sic"	"ADV"	12	0.1	"sic"
"Abraham, Abrahae"	"N"	11	0.1	"abraham; abrahae"
"Lazarus, Lazari"	"N"	11	0.1	"lazarus; lazarum; lazare"
"adoro, adorare, adoravi, adoratus"	"V"	11	0.1	"adorare; adorabitis; adorabunt; adoramus; adorant; adorarent; adoratis; adoraverunt; adoravit; adorent"
"amo, amare, amavi, amatus"	"V"	11	0.1	"amas; amo; amabat; amat; amastis"
"bibo, bibere, bibi, bibitus"	"V"	11	0.1	"bibit; bibere; bibam; bibat; biberit; biberitis"
"clamo, clamare, clamavi, clamatus"	"V"	11	0.1	"clamavit; clamaverunt; clamabant; clamantis; clamat"
"foras"	"ADV"	11	0.1	"foras"
"mater, matris"	"N"	11	0.1	"mater; matrem; matris; matri"
"quasi"	"ADV"	11	0.1	"quasi"
"vivo, vivere, vixi, victus"	"V"	11	0.1	"vivet; vivit; vivens; vivent; vivetis"
"voluntas, voluntatis"	"N"	11	0.1	"voluntatem; voluntas; voluntate"
"Pascha, Paschae"	"N"	10	0.1	"pascha; paschae"
"anima, animae"	"N"	10	0.1	"animam; anima"
"ante"	"PREP"	10	0.1	"ante"
"doceo, docere, docui, doctus"	"V"	10	0.1	"docens; docebat; docebit; doces; docturus; docui; docuit"
"eo, ire, ivi(ii), itus"	"V"	10	0.1	"eamus; iturus; eatis; ibant; ibat; ibimus"
"fructus, fructus"	"N"	10	0.1	"fructum; fructus"
"glorifico, glorificare, glorificavi, glorificatus"	"V"	10	0.1	"glorificetur; glorificatus; glorifica; glorificabo; glorificat; glorificavi; glorifico"
"judex, judicis"	"N"	10	0.1	"iudicium; iudicem"
"mando, mandare, mandavi, mandatus"	"V"	10	0.1	"mandatum; mandata; mandavit; mando"
"manifesto, manifestare, manifestavi, manifestatus"	"V"	10	0.1	"manifestavit; manifestentur; manifestabo; manifestaturus; manifestatus; manifestavi; manifestetur"
"oportet, oportere, oportuit, -"	"V"	10	0.1	"oportet; oportebat"
"sedeo, sedere, sedi, sessus"	"V"	10	0.1	"sedebat; sedens; sedentes; sedit"
"suus, sua, suum"	"ADJ"	10	0.1	"suam; suae"
"tunc"	"ADV"	10	0.1	"tunc"
"Judes, Judae"	"N"	9	0.1	"iudas; iudae; iudam"
"Martha, Marthae"	"N"	9	0.1	"martha; martham; marthae"
"adduco, adducere, adduxi, adductus"	"V"	9	0.1	"adducunt; adduxit; adducere; adduco; adduxerunt; adduxistis"
"adhuc"	"ADV"	9	0.1	"adhuc"
"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	9	0.1	"crucifige; crucifigam; crucifigere; crucifigeretur; crucifigite; crucifixerunt; crucifixissent"
"gaudium, gaudi(i)"	"N"	9	0.1	"gaudium; gaudio"
"lex, legis"	"N"	9	0.1	"legem; lex"
"modus, modi"	"N"	9	0.1	"modo"
